,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
15,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,a2e1d457e1554266b74dff0ec0fa6e67,200,2,1177,755,0.01,gradient,576,1.050445910999997
16,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,b62bc95f0c8e4de680a74a9b15e1832c,200,2,1177,755,0.02,gradient,708,1.3139118659998985
17,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,12a6084c9a004adf8ddb40f3730bcd29,200,2,1177,755,0.03,gradient,770,1.6917007859999558
18,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,f741ae18b173494e8a8cc59b61c10b35,200,2,1177,755,0.04,gradient,870,1.9953194570000505
19,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,a2c66efae2c5472882fd90b9c73bc850,200,2,1177,755,0.05,gradient,944,2.1105721839999205
20,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,0309079c3cdd4a06b5f42651c047f48f,200,2,1177,755,0.1,gradient,1102,2.78720519400008
21,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,05ff96f632a6454480350e76335e3939,200,2,1177,755,0.2,gradient,1162,2.977927905000115
22,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,851f703fbf854824b1812f10b80dd5a0,200,2,1177,755,0.5,gradient,1176,3.209706904000086
23,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,dcc37fa86ad94188891ecebec0d893eb,200,2,1177,755,1.0,gradient,1176,3.0792349690000265
24,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,03a87bb0dabc4c2fa0262aee04b5bf6e,200,2,1177,755,0.0,induced,422,1.4770721610000237
25,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,c2e5e71fef3c44b0b188cc2e1c15ba7d,200,2,1177,755,0.002,induced,570,1.6934694859999126
26,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,0565f5591e7e468797fa594de6bf665a,200,2,1177,755,0.005,induced,634,1.8535864370001036
27,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,d602a1ac8b9645f0b430e25b8c78fb35,200,2,1177,755,0.01,induced,698,2.052715125000077
28,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,2cc88bf979bc411a9f47d5dd7edb89fd,200,2,1177,755,0.02,induced,766,2.0990472549999595
29,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,30a01af6a247443aa47fa17f781d6671,200,2,1177,755,0.03,induced,820,2.097814146000019
30,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,afa5a1bd7afa44f28f3c4d1491fa6aba,200,2,1177,755,0.04,induced,902,2.426092617999984
31,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,205587be6d594fecb09600c21b2e9b7e,200,2,1177,755,0.05,induced,972,2.7112591539998903
32,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,ca7471300e41451aae291bdc5cd826e7,200,2,1177,755,0.1,induced,1108,3.033802168999955
33,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,2cea6a25353a402b8e88e1fdd2838239,200,2,1177,755,0.2,induced,1172,3.2346909999998843
34,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,0a578481822d4f8392c6ce2fcc882726,200,2,1177,755,0.5,induced,1176,3.341711825999937
35,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,7ec2093714c847e08dfefcb74c79fdf3,200,2,1177,755,1.0,induced,1176,3.2945026099998813
36,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,89c5ea602a84407dac2ff4853df486c4,200,2,1177,755,0.0,perseus,692,0.023525375999952303
37,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,c9c0a4f5667040189d233898e210be04,200,2,1177,755,0.002,perseus,600,0.02936412000008204
38,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,2927037144704fbc9184db943b7db983,200,2,1177,755,0.005,perseus,600,0.026509830000122747
39,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,0c7cf543f0f6476bbd22d6ccffbc74bc,200,2,1177,755,0.01,perseus,638,0.02610498700005337
40,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,e3ff157562e4497f8f107683fb2dcd8a,200,2,1177,755,0.02,perseus,708,0.03183305100014877
41,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,18f0344ec7884ea7bb87508accc35854,200,2,1177,755,0.03,perseus,730,0.026639371000101164
42,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,665c1093cd11402ca41f05e9589b342a,200,2,1177,755,0.04,perseus,788,0.03151541800002633
43,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,ea775a4b76e04344ae9a54d8448e11ab,200,2,1177,755,0.05,perseus,906,0.02025514000001749
44,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,ee60f98b104d4805afad005ea817f228,200,2,1177,755,0.1,perseus,1076,0.02443446799998128
45,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,6c95423b51034765aafc6f3706e054c3,200,2,1177,755,0.2,perseus,1160,0.025624488999937967
46,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,6b9c9995db504cae9f01ba16df056775,200,2,1177,755,0.5,perseus,1170,0.020234329000004436
47,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,b2e74879eadd40408ab0d64af8778946,200,2,1177,755,1.0,perseus,1174,0.02027587699990363
